ratio,keep_dir,task,primary_metric_name,primary_metric_value,metrics_json,result_json,model_source,model_name,model_args,limit,original_samples,effective_samples,comparable
0.10,keep010,gqa_local,"exact_match,none",0.5341866751470822,"{""exact_match,none"": 0.5341866751470822}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep010/gqa_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_163258_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18,illava_keep_ratio=0.10",,12578,12578,True
0.10,keep010,mmbench_en_dev_local,"gpt_eval_score,none",74.82817869415808,"{""gpt_eval_score,none"": 74.82817869415808}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep010/mmbench_en_dev_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_153550_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18,illava_keep_ratio=0.10",,4329,4329,True
0.10,keep010,mme_local,"mme_percetion_score,none",1467.5246098439377,"{""mme_cognition_score,none"": 368.92857142857144, ""mme_percetion_score,none"": 1467.5246098439377}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep010/mme_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_152108_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18,illava_keep_ratio=0.10",,2374,2374,True
0.10,keep010,pope_local,"pope_accuracy,none",0.8516666666666667,"{""pope_accuracy,none"": 0.8516666666666667, ""pope_f1_score,none"": 0.8394133132756676, ""pope_precision,none"": 0.9554794520547946, ""pope_recall,none"": 0.7484909456740443, ""pope_yes_ratio,none"": 0.5}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep010/pope_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_181329_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18,illava_keep_ratio=0.10",,9000,9000,True
0.10,keep010,scienceqa_img_local,"exact_match,none",0.8790282597917699,"{""exact_match,none"": 0.8790282597917699}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep010/scienceqa_img_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_155722_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18,illava_keep_ratio=0.10",,2017,2017,True
0.10,keep010,vizwiz_vqa_val_local,"exact_match,none",0.5759203519333176,"{""exact_match,none"": 0.5759203519333176}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep010/vizwiz_vqa_val_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_160217_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18,illava_keep_ratio=0.10",,4319,4319,True
0.25,keep025,chartqa_local,"relaxed_overall,none",0.6868,"{""relaxed_augmented_split,none"": 0.7648, ""relaxed_human_split,none"": 0.6088, ""relaxed_overall,none"": 0.6868}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep025/chartqa_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_140132_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18",,2500,2500,True
0.25,keep025,gqa_local,"exact_match,none",0.6106694228017173,"{""exact_match,none"": 0.6106694228017173}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep025/gqa_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_162401_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18",,12578,12578,True
0.25,keep025,mmbench_en_dev_local,"gpt_eval_score,none",79.46735395189003,"{""gpt_eval_score,none"": 79.46735395189003}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep025/mmbench_en_dev_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_152920_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18",,4329,4329,True
0.25,keep025,mme_local,"mme_percetion_score,none",1570.0877350940377,"{""mme_cognition_score,none"": 412.1428571428571, ""mme_percetion_score,none"": 1570.0877350940377}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep025/mme_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_151531_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18",,2374,2374,True
0.25,keep025,pope_local,"pope_accuracy,none",0.8866666666666667,"{""pope_accuracy,none"": 0.8866666666666667, ""pope_f1_score,none"": 0.8776391554702495, ""pope_precision,none"": 0.9535974973931178, ""pope_recall,none"": 0.8128888888888889, ""pope_yes_ratio,none"": 0.5}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep025/pope_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_170531_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18",,9000,9000,True
0.25,keep025,scienceqa_img_local,"exact_match,none",0.9221616261774913,"{""exact_match,none"": 0.9221616261774913}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep025/scienceqa_img_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_154030_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18",,2017,2017,True
0.25,keep025,vizwiz_vqa_val_local,"exact_match,none",0.6083815698078273,"{""exact_match,none"": 0.6083815698078273}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep025/vizwiz_vqa_val_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_154547_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18",,4319,4319,True
0.50,keep050,chartqa_local,"relaxed_overall,none",0.0,"{""relaxed_human_split,none"": 0.0, ""relaxed_overall,none"": 0.0}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep050/chartqa_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_213351_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18,illava_keep_ratio=0.50",2.0,2500,2,False
0.50,keep050,gqa_local,"exact_match,none",0.61806328510097,"{""exact_match,none"": 0.61806328510097}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep050/gqa_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_190006_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18,illava_keep_ratio=0.50",,12578,12578,True
0.50,keep050,mmbench_en_dev_local,"gpt_eval_score,none",81.09965635738831,"{""gpt_eval_score,none"": 81.09965635738831}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/VFlowOpt/keep050/mmbench_en_dev_local/ckpts__llava-onevision-qwen2-7b-ov/20260429_175029_results.json,llava_onevision_training_free,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov,conv_template=qwen_1_5,model_name=llava_qwen_training_free,device_map=auto,enable_illava_vit=True,illava_vit_k=25,enable_illava_llm=True,illava_llm_k=9-18,illava_keep_ratio=0.50",,4329,4329,True
